티커,종목명,현재가,등락률(%),거래량비율,MA5,MA20,MA60,정배열,눌림목,장대양봉,망치형,전고돌파,PER,PBR,ROE(%),배당률(%),BPS,스윙점수,시그널,1차목표가,손절가
298040,효성중공업,2384000,-0.87,0.53,2386600,2381350,2077266,True,True,False,False,False,99.71,11.63,11.66,0.21,204958,45,외국인_순매수 | 정배열 | 눌림목반등 | 배당0.2%,2671000,2264800
013000,세우글로벌,1126,-1.23,0.61,1132,1151,1170,False,False,False,False,False,9.31,0.62,6.66,2.66,1805,45,외+기관_동시매수 | PBR0.62 | 배당2.7%,1204,1069
064960,SNT모티브,34950,0.58,0.55,34680,35877,34494,False,False,False,False,False,8.13,0.77,9.47,2.68,45531,45,외+기관_동시매수 | PBR0.77 | 배당2.7%,40450,33202
005930,삼성전자,181200,1.46,1.09,171960,160415,130333,True,False,False,False,True,36.61,3.13,8.55,0.8,57951,45,기관_순매수 | 정배열 | 전고돌파 | 배당0.8%,193884,160415
001420,태원물산,3100,0.98,0.43,3131,3204,3319,False,False,False,False,False,1.3,0.5,38.46,6.45,6174,45,외+기관_동시매수 | PBR0.50 | 배당6.5%,3335,2945
089590,제주항공,6370,-0.78,0.9,6304,5775,5538,True,False,False,False,False,25.79,1.58,6.13,0.0,4022,45,외+기관_동시매수 | 정배열,6815,5775
018250,애경산업,14130,0.14,0.8,13838,13051,13293,False,False,False,False,False,8.37,0.91,10.87,4.1,15580,45,외+기관_동시매수 | PBR0.91 | 배당4.1%,15119,13051
086280,현대글로비스,255000,-2.3,0.45,251500,250700,209070,True,True,False,False,False,17.48,2.18,12.47,1.45,116975,45,외국인_순매수 | 정배열 | 눌림목반등 | 배당1.4%,296000,242250
138040,메리츠금융지주,136300,0.96,1.22,129080,116920,111363,True,False,False,False,True,11.12,2.43,21.85,0.99,56153,45,기관_순매수 | 정배열 | 전고돌파 | 배당1.0%,145841,116920
003830,대한화섬,128200,-2.95,1.0,124120,116595,117650,False,False,False,False,False,0.0,0.2,0.0,0.59,638754,45,외+기관_동시매수 | PBR0.20 | 배당0.6%,137174,116595
004250,NPC,3910,0.13,0.37,3882,3791,3823,False,False,False,False,False,2.07,0.34,16.43,2.69,11496,45,외+기관_동시매수 | PBR0.34 | 배당2.7%,4183,3714
033530,SJG세종,10290,-3.2,0.21,10640,10779,9932,False,False,False,False,False,8.25,0.61,7.39,1.46,16867,45,외+기관_동시매수 | PBR0.61 | 배당1.5%,12640,9775
284740,쿠쿠홈시스,25350,-0.2,1.27,25030,23745,24289,False,False,False,False,False,4.64,0.6,12.93,3.94,42011,45,외+기관_동시매수 | PBR0.60 | 배당3.9%,27124,23745
005320,온타이드,432,-3.14,1.13,448,433,456,False,False,False,False,False,0.0,0.28,0.0,0.0,1550,40,외+기관_동시매수 | PBR0.28,492,410
001380,SG글로벌,1680,-0.71,0.81,1672,1589,1702,False,False,False,False,False,12.0,0.5,4.17,0.0,3329,40,외+기관_동시매수 | PBR0.50,1797,1589
308170,씨티알모빌리티,6550,-4.24,0.46,6724,7413,6353,False,False,False,False,False,0.0,0.79,0.0,0.0,8310,40,외+기관_동시매수 | PBR0.79,10200,6222
008775,호텔신라우,36600,-1.08,0.42,36790,35567,37028,False,True,False,False,False,0.0,0.0,0.0,0.0,0,40,외+기관_동시매수 | 눌림목반등,39162,34770
020120,키다리스튜디오,4090,-1.56,0.93,3797,3347,3418,False,False,False,False,False,0.0,0.76,0.0,0.0,5383,40,외+기관_동시매수 | PBR0.76,4490,3347
004920,씨아이테크,1148,0.61,0.49,1146,1153,1150,False,False,False,False,False,0.0,1.05,0.0,0.0,1094,40,외+기관_동시매수 | PBR1.05,1290,1090
278470,에이피알,272000,-3.55,0.57,275500,269825,251091,True,True,False,False,False,94.61,31.31,33.09,0.0,8687,40,외국인_순매수 | 정배열 | 눌림목반등,306500,258400
443060,HD현대마린솔루션,171300,2.94,1.82,168640,178680,188953,False,False,False,False,True,32.3,9.84,30.46,1.84,17402,40,기관_순매수 | 거래량1.8x | 전고돌파 | 배당1.8%,192600,162735
006570,대림통상,2085,-1.65,0.13,2096,2147,2252,False,False,False,False,False,0.0,0.54,0.0,0.0,3866,40,외+기관_동시매수 | PBR0.54,2260,1980
006340,대원전선,3770,0.27,0.64,3733,3704,3736,False,True,False,False,False,42.36,2.57,6.07,0.0,1467,40,외+기관_동시매수 | 눌림목반등,4033,3581
012170,아센디오,1615,-2.65,0.27,1643,1799,1760,False,False,False,False,False,0.0,0.86,0.0,0.0,1880,40,외+기관_동시매수 | PBR0.86,2500,1534
014910,성문전자,1809,-4.13,0.29,1905,2070,1679,False,False,False,False,False,14.24,0.94,6.6,0.0,1917,40,외+기관_동시매수 | PBR0.94,2650,1718
004985,성신양회우,11860,-1.0,0.73,11786,11399,11415,False,False,False,False,False,0.0,0.0,0.0,3.37,0,35,외+기관_동시매수 | 배당3.4%,12690,11267
483650,달바글로벌,173700,0.75,0.91,172120,159105,147908,True,False,False,False,False,120.21,19.51,16.23,0.18,8902,35,외국인_순매수 | 정배열 | 배당0.2%,185859,159105
006260,LS,248000,-1.0,0.93,235200,225410,204133,True,False,False,False,False,28.58,1.48,5.18,0.67,167908,35,외국인_순매수 | 정배열 | 배당0.7%,265360,225410
030190,NICE평가정보,17700,0.91,0.93,17340,16854,16913,False,False,False,False,False,13.66,2.52,18.45,2.6,7031,35,외+기관_동시매수 | 배당2.6%,18939,16815
